person_age,person_gender,person_income,person_emp_exp,loan_int_rate,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,person_education_Associate,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,log_person_income,income_per_age,young_applicant,credit_score_sqrt,credit_score_total,home_and_income,income_credit_capacity,income_credit_history_capacity,employment_stability_ratio,income_employment_capacity,credit_history_age_ratio,credit_start_age,log_credit_strength,home_ownership_income_capacity,education_income_capacity,intent_income_capacity,loan_amnt
22.0,0,71948.0,0,16.02,3.0,561,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,11.183712813678275,3270.3636363636365,1,23.68543856465402,1683.0,195574.94099397137,6274.062888473512,15.503918009986458,0.0,7.751959004993229,0.13636363636363635,19.0,7.428927194802272,11.183712813678275,15.098012298465672,11.183712813678275,35000.0
21.0,0,12282.0,0,11.14,2.0,504,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,9.415971471539095,584.8571428571429,1,22.44994432064365,1008.0,246690.56449059094,4745.649621655703,10.344501968381195,0.0,6.5266540777302025,0.09523809523809523,19.0,6.9167150203536085,15.065554354462552,9.415971471539095,10.357568618693005,1000.0
25.0,0,12438.0,3,12.87,3.0,635,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,9.428591977209965,497.52,0,25.199206336708304,1905.0,91905.07975849943,5987.155905528328,13.070803891306415,0.42857142857142855,15.174733388993713,0.12,22.0,7.552762084214147,12.728599169233455,9.428591977209965,9.900021576070465,5500.0
23.0,0,79753.0,0,15.23,2.0,675,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,11.286702176129095,3467.521739130435,1,25.98076211353316,1350.0,216791.1306650942,7618.52396888714,12.399709709232521,0.0,7.823345791203681,0.08695652173913043,21.0,7.208600337960199,11.286702176129095,14.10837772016137,11.85103728493555,35000.0
24.0,1,66135.0,1,14.27,4.0,586,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,11.099468506932512,2755.625,1,24.20743687382041,2344.0,179773.56872513896,6504.288545062452,17.8639054229255,0.16666666666666666,12.194012499400735,0.16666666666666666,20.0,7.76004068088038,11.099468506932512,14.984282484358893,11.654441932279138,35000.0
21.0,0,12951.0,0,7.14,2.0,532,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,9.469005495357472,616.7142857142857,1,23.065125189341593,1064.0,260127.7886922035,5037.510923530175,10.40276579866558,0.0,6.563414461813659,0.09523809523809523,19.0,6.970730078143525,15.150408792571955,9.469005495357472,12.309707143964713,2500.0
26.0,0,93471.0,1,12.42,3.0,701,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11.445417205187468,3595.0384615384614,0,26.476404589747453,2103.0,254080.5207878954,8023.237460836415,15.866717332215964,0.125,12.574075990552364,0.11538461538461539,23.0,7.651595573857601,11.445417205187468,14.306771506484335,12.589958925706215,35000.0
24.0,0,95550.0,5,11.11,4.0,585,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,11.467415415338404,3981.25,1,24.186773244895647,2340.0,259731.82870926175,6708.438017972967,18.456093127076862,0.8333333333333334,22.31456004014035,0.16666666666666666,20.0,7.75833346749091,11.467415415338404,11.467415415338404,12.040786186105326,35000.0
24.0,0,100684.0,3,8.9,2.0,544,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11.519752110312506,4195.166666666667,1,23.323807579381203,1088.0,273687.4876165705,6266.7451480100035,12.65574123079971,0.5,18.540325788179683,0.08333333333333333,22.0,6.9930151229329605,11.519752110312506,13.24771492685938,11.519752110312506,35000.0
21.0,0,12739.0,0,14.74,3.0,640,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,9.452501929126154,606.6190476190476,1,25.298221281347036,1920.0,255869.6548644877,6049.601234640739,13.103950122822475,0.0,6.5519750614112375,0.14285714285714285,18.0,7.560601162768557,15.124003086601846,9.452501929126154,12.288252507864,1600.0
22.0,0,102985.0,0,10.37,4.0,621,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,11.542348335643398,4681.136363636364,1,24.919871588754223,2484.0,279942.25410385476,7167.7983164345505,18.57669300990512,0.0,8.000546205891998,0.18181818181818182,18.0,7.818027938530729,11.542348335643398,11.542348335643398,15.005052836336418,35000.0
21.0,0,13113.0,0,8.63,2.0,651,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9.481435640823564,624.4285714285714,1,25.514701644346147,1302.0,263381.64567375986,6172.414602176141,10.416421709224561,0.0,6.572030382097432,0.09523809523809523,19.0,7.172424577124845,15.170297025317703,10.903650986947097,13.27400989715299,4500.0
